Model,Best_Parameters,CV_Score
LogisticRegression,"{
  ""C"": 100,
  ""max_iter"": 100,
  ""solver"": ""liblinear""
}",0.99
DecisionTree,"{
  ""criterion"": ""gini"",
  ""max_depth"": null,
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 10
}",0.9807
SVM,"{
  ""C"": 1,
  ""gamma"": ""scale"",
  ""kernel"": ""linear""
}",0.9898
KNN,"{
  ""metric"": ""manhattan"",
  ""n_neighbors"": 3,
  ""weights"": ""distance""
}",0.9651
RandomForest,"{
  ""max_depth"": null,
  ""max_features"": ""sqrt"",
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 10,
  ""n_estimators"": 100
}",0.9893
StackingClassifier,"{
  ""estimators"": ""LR+DT+RF"",
  ""final_estimator"": ""SVC(linear)""
}",0.0
